Reference,Species_record_id,NODCCODE,Scientificname.x,N,Length_record_id,Length,Bio_Reference_FK,TSN.x,Spec_no,CrewID,RigNo,FisherRecordID,FisherFIshID,Estuary,SamplingDate,Gear,Latitude,Longitude,StartDepth,Sex,SL,FL,TL,TotalWeight,Source,SamplingProgram,SourceDataTable,Flag_LWDataField,Otolith,FishHealth,Genetics,Histology,Mercury,Tagged,Guts,Other,SANPrimaryKey,Hg_bottle_number,TSN.y,spp_code,Scientificname.y,Commonname,Manufactured_nodccode,Manufactured_tsn,spp_code_old
ANM2004100101,8,6177010102,Farfantepenaeus duorarum,24,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,8,6177010102,Farfantepenaeus duorarum,24,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,8,6177010102,Farfantepenaeus duorarum,24,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
ANM2004100101,9,6177010102,Farfantepenaeus duorarum,24,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,FALSE,FALSE,F. duorarum
