BottomType,Description,Category
,No bottom type recorded (null),.
,Corals: Hard,Structure
,Detritus,Mud
,Peat                                                                                                                         ,NA
,"Mussel, not Perna viridis (Asian green mussel)",Structure
,Shell,Sand
,Mud,Mud
,None,Other
,Oysters,Structure
,Sponge,Structure
,Rocks,Structure
,Sand,Sand
,Tunicates,Structure
,Unknown,Other
,Asian green mussel (Perna viridis),Structure
,No bottom vegetation recorded (null),None
,Acetabularia spp.,Algae
,Algae: calcareous,Algae
,Algae: Filamentous green,Algae
,Algae: Mixed,Algae
,Algae: Filamentous red,Algae
,Acanthophora spp.,Algae
,Algae: Unidentified,Algae
,Batophora spp.,Algae
,Caulerpa spp.,SAV
,Eleocharis spp.,SAV
,Seagrasses: Mixed,SAV
,Gracillaria,Algae
,Seagrasses: Unidentified,SAV
,Halodule spp.,SAV
,Halophila decipiens (paddle grass),SAV
,Hydrilla spp,SAV
,Halophila engelmanii  (star grass),SAV
,Halophila spp.,SAV
,Halophila johnsonii,SAV
,Halimeda spp.,Algae
,Laurencia spp,Algae
,Limnophila spp. (Asian marshweed),Other
,Muskgrass,SAV
,Myriophyllum spp.,SAV
,Najas spp.  (busy pond weed),SAV
,None,None
,Penicillus capitatus (Merman's shaving brush),SAV
,Potamogeton spp. (pond weed),SAV
,Ruppia spp.,SAV
,Sargassum spp,SAV
,Sagittaria kurziana (strap-leaf sagittaria),SAV
,Spatterdock (Nuphar spp.),Other
,Syringodium spp.,SAV
,Thalassia spp.,SAV
,Valisneria spp.,SAV
,Zannichellia palustris (horned pond weed),SAV
,BottomVegRatio not recorded.,.
,0% of the total BottomVeg was comprised of this BottomVeg type.,.
,1-10% of the total BottomVeg was comprised of this BottomVeg type.,.
,91-100% of the total BottomVeg was comprised of this BottomVeg type.,.
,11-20% of the total BottomVeg was comprised of this BottomVeg type.,.
,21-30% of the total BottomVeg was comprised of this BottomVeg type.,.
,31-40% of the total BottomVeg was comprised of this BottomVeg type.,.
,41-50% of the total BottomVeg was comprised of this BottomVeg type.,.
,51-60% of the total BottomVeg was comprised of this BottomVeg type.,.
,61-70% of the total BottomVeg was comprised of this BottomVeg type.,.
,71-80% of the total BottomVeg was comprised of this BottomVeg type.,.
,81-90% of the total BottomVeg was comprised of this BottomVeg type.,.
