Gear,GearDetails,GearCategory
1,6.1-m Seine,Seine
10,21.3-m Seine,Seine
100,21.3-m Seine,Seine
101,21.3-m Seine,Seine
102,21.3-m Seine,Seine
103,21.3-m Seine,Seine
104,21.3-m Seine,Seine
105,21.3-m Seine,Seine
106,21.3-m Seine,Seine
107,21.3-m Seine,Seine
11,21.3-m Seine,Seine
12,21.3-m Seine,Seine
13,21.3-m Seine,Seine
148,Seine,Seine
150,Seine,Seine
151,Seine,Seine
152,Seine,Seine
155,Haul Seine,Seine
156,Seine,Seine
157,Haul Seine,Seine
158,Haul Seine,Seine
159,Haul Seine,Seine
160,Haul Seine,Seine
161,Haul Seine,Seine
162,Haul Seine,Seine
180,Seine,Seine
2,6.1-m Seine,Seine
20,21.3-m Seine,Seine
21,21.3-m Seine,Seine
22,21.3-m Seine,Seine
23,21.3-m Seine,Seine
24,21.3-m Seine,Seine
25,21.3-m Seine,Seine
26,21.3-m Seine,Seine
27,21.3-m Seine,Seine
28,21.3-m Seine,Seine
29,21.3-m Seine,Seine
3,6.1-m Seine,Seine
303,3.7-m Trawl,Seine
304,3.7-m Trawl,Seine
305,3.7-m Trawl,Seine
4,12.2-m Seine,Seine
407,91-m Seine,Seine
408,6.1-m Seine,Seine
415,Seine,Seine
416,Seine,Seine
417,Haul Seine,Seine
418,Seine,Seine
419,Seine,Seine
420,Haul Seine,Seine
421,Haul Seine,Seine
422,Haul Seine,Seine
423,Seine,Seine
424,Seine,Seine
425,Seine,Seine
435,Seine,Seine
436,Seine,Seine
438,Seine,Seine
439,Seine,Seine
5,9.1-m Seine,Seine
