TripID,Reference,Sampling_Date,Project_1,Project_2,Project_3,WorkUp,Stratum,Gear,Rep,LocationInstrument,Longitude,Latitude,End_Longitude,End_Latitude,Station_1,Station_2,Station_3,PrimaryInvestigator,Crew1,Crew2,Crew3,Crew4,StartTime,TimeZone,StartDepth,Zone,Subzone,Grid,TempInstrument,CondInstrument,pHInstrument,SalInstrument,DisO2Instrument,HydroInstrument,Secchi_on_bottom,Secchi_depth,Sediment_Depth,SAM,BottomVegCover,Seagrass_habitat_descriptor,Distance_to_edge,TotalShoreCover,Total_Over_Site,TotalShoreDamaged,Intermittent_land,Dist_to_Shore,Dist_to_ShoreType,Dist_to_MHTM,BycatchQuantity,BankDistance,Bank,ShoreDistance,Event,Procedural_exception,RecordPerson,Historic_Reference,Habitat_record_id,BottomType,BottomVeg,BottomVegRatio,Level,ShoreType,Inund,Over,ShoreTypeRatio,ByCatchType,ByCatchRatio,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Period,WindDirection,WindSpeed,CloudCover,Precipitation,Tide,Current
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,1,U,UN,NA,1,BM,NO,NO,5,WT,9,0.2,B,24.4,32.4,7.6,20.1,6.5,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,1,U,UN,NA,1,BM,NO,NO,5,WT,9,1,B,24.4,32.3,7.6,20.1,5.5,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,1,U,UN,NA,1,BM,NO,NO,5,WT,9,2,B,24.4,32.4,7.6,20.2,5.4,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,1,U,UN,NA,1,BM,NO,NO,5,WT,9,2.3,B,24.4,32.4,7.7,20.2,5.3,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,2,.,.,NA,1,TV,NO,NO,5,HA,1,0.2,B,24.4,32.4,7.6,20.1,6.5,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,2,.,.,NA,1,TV,NO,NO,5,HA,1,1,B,24.4,32.3,7.6,20.1,5.5,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,2,.,.,NA,1,TV,NO,NO,5,HA,1,2,B,24.4,32.4,7.6,20.2,5.4,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100101,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.776867,28.162933,NA,NA,AN0410009,.,.,6021,6037,6012,9999,NA,09:31:00,EDT,2.3,3,.,5,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,22,20,40,30,NA,.,NA,NO,.,6021,ANM04100101,2,.,.,NA,1,TV,NO,NO,5,HA,1,2.3,B,24.4,32.4,7.7,20.2,5.3,2,E,8,0,N,LF,NA
ANM20041001,ANM2004100102,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.798133000000007,28.177867,NA,NA,AN0410006,.,.,6021,6037,6012,9999,NA,10:11:00,EDT,2.7,2,.,2,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,62,60,70,0,NA,.,NA,NO,.,6021,ANM04100102,1,U,UN,NA,1,MA,NO,NO,10,NO,0,0.2,B,24.5,36,7.8,22.7,5.4,2,E,15,0,N,LF,NA
ANM20041001,ANM2004100102,2004-10-18,AR,. ,. ,S,.,300,1,G,-82.798133000000007,28.177867,NA,NA,AN0410006,.,.,6021,6037,6012,9999,NA,10:11:00,EDT,2.7,2,.,2,A,A,A,A,A,A,NO,1,NA,.,NA,NA,NA,100,NA,NA,10,62,60,70,0,NA,.,NA,NO,.,6021,ANM04100102,1,U,UN,NA,1,MA,NO,NO,10,NO,0,1,B,24.4,36.1,7.8,22.8,5.3,2,E,15,0,N,LF,NA
