Species,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode
Abalistes filamentosus,Actinopterygii,Tetraodontiformes,0.310000002,19.8,13,3.38,180,23.9,2.581326,guarders,short_and_or_deep_compressed,pelagic_neritic,balistiform
Abalistes stellaris,Actinopterygii,Tetraodontiformes,0.209999993,34.1,5.5,3.43,100,27.1,4.119021,guarders_nesters,short_and_or_deep_oval,demersal,balistiform
Abalistes stellatus,Actinopterygii,Tetraodontiformes,0.209999993,34.1,6.2,3.43,350,25,4.119021,guarders,short_and_or_deep,reef_associated,balistiform
Ablabys binotatus,Actinopterygii,Scorpaeniformes,0.230000004,10,31.5,3.22,113.97,23.14866667,4.691082,nonguarders,fusiform_normal,reef_associated,gymnotiform
Ablabys macracanthus,Actinopterygii,Scorpaeniformes,0.180000007,12.9,30.1,3.25,20,28.2,5.809005,nonguarders,short_and_or_deep,reef_associated,gymnotiform
Ablabys taenianotus,Actinopterygii,Scorpaeniformes,0.230000004,10,31.5,3.22,78,28.1,4.691082,nonguarders,short_and_or_deep,reef_associated,gymnotiform
Ablennes hians,Actinopterygii,Beloniformes,0.605000019,64.73151,6.2,4.5,3,27.9,1.725199,nonguarders_open_water_substratum_egg_scatterers,elongated,reef_associated,carangiform
Aboma etheostoma,Actinopterygii,Perciformes,1.730000019,2.7,76.9,3.16,69.20219077,26.61329048,0.762552,guarders,fusiform_normal,demersal,diodontiform
Abudefduf abdominalis,Actinopterygii,Perciformes,0.25,18.5,6.6,3.02,50,25.1,3.167128,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf bengalensis,Actinopterygii,Perciformes,0.419999987,11.2,13.3,3.08,6,28.7,2.552693,guarders_nesters,short_and_or_deep_oval,reef_associated,labriform
Abudefduf concolor,Actinopterygii,Perciformes,0.379999995,12.4,42.2,2.68,12,27.3,2.802057,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf conformis,Actinopterygii,Perciformes,0.439999998,8.9,15.5,2.74,12,28,2.517575,guarders_nesters,fusiform_normal_compressed,reef_associated,labriform
Abudefduf declivifrons,Actinopterygii,Perciformes,0.330000013,11.8,28.3,2.71,5,28,3.242242,guarders_nesters,short_and_or_deep,reef_associated,labriform
Abudefduf hoefleri,Actinopterygii,Perciformes,0.360000014,12.9,12,2.72,15,25.82320238,2.914503,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf lorenzi,Actinopterygii,Perciformes,0.400000006,11.8,12.8,2.68,6,28.8,2.6751,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf margariteus,Actinopterygii,Perciformes,0.370000005,10.6,13.8,2.72,8,26.43553571,2.924449,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf natalensis,Actinopterygii,Perciformes,0.419999987,11.2,13.3,2.76,25,23.9,2.552693,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf notatus,Actinopterygii,Perciformes,0.419999987,11.2,33.2,2.73,12,28.4,2.552693,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf saxatilis,Actinopterygii,Perciformes,0.319999993,14.6,26.5,3.82,20,27.3,2.392194,guarders_nesters,short_and_or_deep,reef_associated,labriform
Abudefduf septemfasciatus,Actinopterygii,Perciformes,0.319999993,14.6,11.1,3.01,3,28.6,2.372065,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf sexfasciatus,Actinopterygii,Perciformes,0.379999995,12.4,33,2.7,20,28.4,2.802057,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
