Species,project,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode,Notes
Ameiurus catus,HERS,Actinopterygii,Siluriformes,0.246,181.5,NA,3.2,NA,15.5,4.5,guarders_nesters,NA,demersal,NA,
Anchoa hepsetus,HERS,Actinopterygii,Clupeiformes,0.800000012,10.2,9.2,3.44,70,24.4,1.361167,nonguarders_open_water_substratum_egg_scatterers,elongated_oval,pelagic_neritic,subcarangiform,
Anchoa lyolepis,HERS,Actinopterygii,Clupeiformes,1,8.2,41,3.4,54,24.9,1.111071,nonguarders_open_water_substratum_egg_scatterers,elongated_oval,reef_associated,subcarangiform,
Anchoa mitchilli,HERS,Actinopterygii,Clupeiformes,0.600000024,7.19566,19.4,3.46,70,24,1.893027,nonguarders_open_water_substratum_egg_scatterers,elongated_oval,pelagic_neritic,subcarangiform,
Archosargus probatocephalus,HERS,Actinopterygii,Perciformes,0.35800001,26.91698,5.9,3.53,50,25.9,2.340293,nonguarders,fusiform_normal,reef_associated,subcarangiform,
Ariopsis felis,HERS,Actinopterygii,Siluriformes,0.150000006,39.1,3.3,3.67,20,26.4,5.860916,bearers_external_brooders,elongated,reef_associated,carangiform,
Bagre marinus,HERS,Actinopterygii,Siluriformes,0.150000006,38.6,3.3,3.51,50,24.9,5.860366,bearers_external_brooders,elongated,demersal,carangiform,
Bairdiella chrysoura,HERS,Actinopterygii,Perciformes,0.75,18.5,0,3.59,180.37,18.90741667,1.095709,nonguarders,fusiform_normal,demersal,labriform,
Brevoortia patronus,HERS,Actinopterygii,Clupeiformes,0.409999996,14.82381,8.100000381,2.19,50,24.3,1.864508,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,pelagic_neritic,carangiform,
Brevoortia tyrannus,HERS,Actinopterygii,Clupeiformes,0.433999985,20.39791,31.39999962,3.23,50,13.2,2.100592,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,pelagic_neritic,carangiform,
Centropristis striata,HERS,Actinopterygii,Perciformes,0.430000007,20.71076,4.8,3.89,50,23.6,2.124453,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,subcarangiform,
Chaetodipterus faber,HERS,Actinopterygii,Perciformes,0.180000007,29.07522,5.1,3.58,35,25.4,4.686341,nonguarders,short_and_or_deep,reef_associated,labriform,
Chilomycterus schoepfii,HERS,Actinopterygii,Tetraodontiformes,0.390223335,17.3,7.6,3.5,11,26.9,2.141989243,nonguarders,short_and_or_deep,reef_associated,diodontiform,
Chloroscombrus chrysurus,HERS,Actinopterygii,Perciformes,0.649999976,17.98048,14.9,3.54,110,26.2,1.217703,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,pelagic_neritic,carangiform,
Citharichthys spilopterus,HERS,Actinopterygii,Pleuronectiformes,0.419999987,13.29946,14.8,3.57,75,25.5,2.500196,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
Ctenogobius boleosoma,HERS,Actinopterygii,Gobiiformes,NA,NA,NA,3.25,NA,27.1,NA,benthicspawner,elongated,reef_associated,diodontiform,
Cynoscion arenarius,HERS,Actinopterygii,Perciformes,0.310000002,20.87219,5.3,4.17,50,24.8,2.677107,nonguarders,fusiform_normal,demersal,labriform,
Cynoscion nebulosus,HERS,Actinopterygii,Perciformes,0.134000003,45.37384,5.2,3.98,50,24.3,6.693734,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,labriform,
Cynoscion regalis,HERS,Actinopterygii,Perciformes,0.25999999,43.84591,3.2,3.77,26,12.7,3.824131,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,labriform,
Dorosoma petenense,HERS,Actinopterygii,Clupeiformes,0.37,20.1,0,2.76,15,25.5,2.236601,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,pelagic_neritic,carangiform,
Etropus crossotus,HERS,Actinopterygii,Pleuronectiformes,1.600000024,10.63759,11.7,3.49,100,25.7,0.5611027,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
Etropus microstomus,HERS,Actinopterygii,Pleuronectiformes,1.139999986,8.8,10.3,3.41,91,24.1,0.9729059,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
Eucinostomus argenteus,HERS,Actinopterygii,Perciformes,0.5,12.41954,14.6,3.24,12,27,2.119553,nonguarders,fusiform_normal,reef_associated,carangiform,
Eucinostomus gula,HERS,Actinopterygii,Perciformes,0.340000004,13.08012,12.4,2.68,55,25.5,3.09022,nonguarders,fusiform_normal,reef_associated,carangiform,
Gobionellus oceanicus,HERS,Actinopterygii,Perciformes,0.430000007,10.2,17.3,3.45,20,27.2,2.504787,guarders,fusiform_normal,demersal,diodontiform,
Gobiosoma robustum,HERS,Actinopterygii,Perciformes,0.813000023,4.175224,21.1,3.2,42.2675,23.14879529,1.511052,guarders,fusiform_normal,demersal,diodontiform,
Hypanus sabinus,HERS,Elasmobranchii,Myliobatiformes,0.176823334,34.6,4.7,3.45,25,25.5,5.098680936,bearers_internal_live_bearers,other,demersal,rajiform,
Ictalurus furcatus,HERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lagodon rhomboides,HERS,Actinopterygii,Perciformes,0.310000002,17.7707,7.3,3.4,15,24.3,2.533695,nonguarders,fusiform_normal,demersal,subcarangiform,
Leiostomus xanthurus,HERS,Actinopterygii,Perciformes,0.430000007,19.82294,7.2,3.23,60,24,1.89611,nonguarders,fusiform_normal,demersal,labriform,
Menidia menidia,HERS,Actinopterygii,Atheriniformes,1.039999962,8.705986,9.3,3.19,3,8.8,0.8562636,nonguarders_open_water_substratum_egg_scatterers,elongated,pelagic_neritic,carangiform,
Menticirrhus americanus,HERS,Actinopterygii,Perciformes,0.273999989,26.8664,4.6,3.4,40,24.4,3.155913,nonguarders,fusiform_normal,demersal,labriform,
Micropogonias undulatus,HERS,Actinopterygii,Perciformes,0.349999994,22.42209,8.1,4,100,24.1,2.329,nonguarders,fusiform_normal,demersal,labriform,
Ogcocephalus cubifrons,HERS,Actinopterygii,Lophiiformes,0.119999997,22.8,11.8,3.51,70,25,6.780842,nonguarders,short_and_or_deep,reef_associated,ostraciiform,
Ogcocephalus nasutus,HERS,Actinopterygii,Lophiiformes,0.119999997,22.8,8.2,3.54,305,23.5,6.780842,nonguarders,short_and_or_deep,reef_associated,ostraciiform,
Ogcocephalus radiatus,HERS,Actinopterygii,Lophiiformes,0.119999997,22.8,4.7,3.51,70,26.4,6.780842,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,ostraciiform,
Opsanus beta,HERS,Actinopterygii,Batrachoidiformes,0.217999995,17.71556,13.4,3.63,50,24.6,3.590905,guarders_nesters,fusiform_normal,demersal,subcarangiform,
Orthopristis chrysoptera,HERS,Actinopterygii,Perciformes,0.200000003,27,2.7,3.58,50,24.4,4.181574,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,demersal,carangiform,
Paralichthys albigutta,HERS,Actinopterygii,Pleuronectiformes,0.239999995,39.6,3.7,4.26,130,24.2,3.67922,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
