"spp"
"Anchoa spp."
"Eucinostomus harengulus"
"Menidia spp."
"Anchoa parva"
"Mugil cephalus"
"Floridichthys carpio"
"Gobiosoma bosc"
"Eucinostomus spp."
"Aetapcus maculatus"
"Gobiosoma robustum"
"Ariopsis felis"
"Syngnathus scovelli"
"Opsanus beta"
"Mugil curema"
"Microgobius gulosus"
"Chromis notata"
"Eucinostomus gula"
"Mugil spp."
"Clupeidae spp."
"Hippocampus zosterae"
"Albula spp."
"Centropomus undecimalis"
"Acanthurus lineatus"
"Eugerres plumieri"
"Elops saurus"
"Poecilia latipinna"
"Pogonias cromis"
"Acanthistius ocellatus"
"Gambusia holbrooki"
"Acromycter atlanticus"
"Dorosoma petenense"
"Archosargus probatocephalus"
"Acentrogobius nebulosus"
"Anthias cyprinoides"
"Tilapia mariae"
"Paralonchurus goodei"
"Sphyraena barracuda"
"Amphistichus argenteus"
"Harengula jaguana"
"Opisthonema oglinum"
"Lagodon rhomboides"
"Sphoeroides nephelus"
"Synodus foetens"
"Bairdiella chrysoura"
"Hypoplectrus floridae"
"Scartella emarginata"
"Chriodorus atherinoides"
"Alosa sapidissima"
"Acentrogobius griseus"
"Acyrtus pauciradiatus"
"Callionymus bairdi"
